player_id,Player,Team,S/C,Pos,GP,G,A,P,+/-,PIM,,,,,,,,,,,,
,Connor Clifton,PIT,R,D,50,2,4,6,5,53,,,,,,,,,,,,
,Connor Dewar,PIT,L,C,78,14,16,30,16,19,,,,,,,,,,,,
,Connor Mackey,NYR,L,D,3,0,0,0,-3,4,,,,,,,,,,,,
,Connor McDavid,EDM,L,C,82,48,90,138,17,44,,,,,,,,,,,,
,Connor McMichael,WSH,L,L,78,14,32,46,8,30,,,,,,,,,,,,
,Connor Murphy,"CHI,EDM",R,D,60,4,9,13,-3,46,,,,,,,,,,,,
,Connor Murphy,"CHI,EDM",R,D,20,1,3,4,1,25,,,,,,,,,,,,
,Connor Zary,CGY,L,C,74,12,13,25,-9,22,,,,,,,,,,,,
,Conor Garland,"VAN,CBJ",R,R,50,7,19,26,-15,30,,,,,,,,,,,,
,Conor Garland,"VAN,CBJ",R,R,21,5,2,7,-6,4,,,,,,,,,,,,
,Conor Geekie,TBL,L,C,14,1,2,3,-3,8,,,,,,,,,,,,
,Conor Sheary,NYR,L,L,62,7,11,18,1,14,,,,,,,,,,,,
,Conor Timmins,BUF,R,D,39,0,8,8,-8,18,,,,,,,,,,,,
,Corey Perry,"LAK,TBL",R,R,50,11,17,28,-1,59,,,,,,,,,,,,
,Corey Perry,"LAK,TBL",R,R,22,6,3,9,1,22,,,,,,,,,,,,
,Curtis Douglas,"TBL,VAN",L,C,14,1,1,2,-4,16,,,,,,,,,,,,
,Curtis Douglas,"TBL,VAN",L,C,29,0,2,2,1,92,,,,,,,,,,,,
,Curtis Lazar,EDM,R,C,45,4,2,6,-3,10,,,,,,,,,,,,
,Cutter Gauthier,ANA,L,L,76,41,28,69,-2,28,,,,,,,,,,,,
,Daemon Hunt,MIN,L,D,32,0,6,6,-3,6,,,,,,,,,,,,
,Dakota Joshua,TOR,L,C,55,10,8,18,-2,49,,,,,,,,,,,,
,Dakota Mermis,TOR,L,D,11,1,0,1,-3,11,,,,,,,,,,,,
,Dalibor Dvorsky,STL,L,R,71,12,9,21,-6,26,,,,,,,,,,,,
,Damon Severson,CBJ,R,D,71,8,24,32,18,45,,,,,,,,,,,,
,Daniil But,UTA,R,L,29,3,4,7,1,8,,,,,,,,,,,,
,Daniil Miromanov,CGY,R,D,1,0,0,0,0,0,,,,,,,,,,,,
,Danil Zhilkin,WPG,L,C,6,0,1,1,3,0,,,,,,,,,,,,
,Danila Yurov,MIN,L,R,73,12,15,27,-7,28,,,,,,,,,,,,
,Dante Fabbro,CBJ,R,D,74,5,6,11,-16,33,,,,,,,,,,,,
,Danton Heinen,"PIT,CBJ",L,L,13,1,1,2,1,8,,,,,,,,,,,,
,Danton Heinen,"PIT,CBJ",L,L,33,5,5,10,6,8,,,,,,,,,,,,
,Darnell Nurse,EDM,L,D,82,7,17,24,-12,104,,,,,,,,,,,,
,Darren Raddysh,TBL,R,D,73,22,48,70,21,72,,,,,,,,,,,,
,David Jiricek,"MIN,PHI",R,D,25,0,0,0,0,14,,,,,,,,,,,,
,David Jiricek,"MIN,PHI",R,D,1,0,0,0,0,2,,,,,,,,,,,,
,David Kampf,"VAN,WSH",L,C,38,2,4,6,-12,10,,,,,,,,,,,,
,David Kampf,"VAN,WSH",L,C,2,0,0,0,-1,2,,,,,,,,,,,,
,David Pastrnak,BOS,R,R,77,29,71,100,4,72,,,,,,,,,,,,
,David Perron,"OTT,DET",R,L,16,3,0,3,-9,18,,,,,,,,,,,,
,David Perron,"OTT,DET",R,L,49,10,15,25,2,22,,,,,,,,,,,,
,David Reinbacher,MTL,R,D,2,0,1,1,0,0,,,,,,,,,,,,
,David Spacek,MIN,R,D,2,0,0,0,-1,0,,,,,,,,,,,,
,David Tomasek,EDM,R,R,22,3,2,5,-6,10,,,,,,,,,,,,
,Dawson Mercer,NJD,R,C,82,20,22,42,-2,33,,,,,,,,,,,,
,Declan Carlile,TBL,L,D,42,1,2,3,5,40,,,,,,,,,,,,
,Declan Chisholm,WSH,L,D,26,1,6,7,3,4,,,,,,,,,,,,
,Dennis Cholowski,NJD,L,D,17,0,2,2,-6,2,,,,,,,,,,,,
,Dennis Gilbert,OTT,L,D,8,0,1,1,0,2,,,,,,,,,,,,
,Denton Mateychuk,CBJ,L,D,75,13,18,31,12,8,,,,,,,,,,,,
,Denver Barkey,PHI,L,C,43,5,12,17,-6,16,,,,,,,,,,,,
,Derek Forbort,VAN,L,D,2,0,0,0,0,2,,,,,,,,,,,,
,Devon Toews,COL,L,D,68,3,21,24,37,32,,,,,,,,,,,,
,Dmitri Simashev,UTA,L,D,28,0,1,1,-11,23,,,,,,,,,,,,
,Dmitri Voronkov,CBJ,L,L,63,17,15,32,-1,59,,,,,,,,,,,,
,Dmitry Kulikov,FLA,L,D,19,0,0,0,-5,10,,,,,,,,,,,,
,Dmitry Orlov,SJS,L,D,82,3,34,37,-28,48,,,,,,,,,,,,
,Domenick Fensore,CAR,L,D,1,0,0,0,-2,0,,,,,,,,,,,,
,Dominic James,TBL,L,C,43,7,8,15,4,8,,,,,,,,,,,,
,Dominic Toninato,CHI,L,C,8,0,1,1,0,6,,,,,,,,,,,,
,Dominik Shine,DET,R,R,18,3,0,3,0,7,,,,,,,,,,,,
,Donovan Sebrango,"OTT,FLA",L,D,40,0,8,8,-4,63,,,,,,,,,,,,
,Donovan Sebrango,"OTT,FLA",L,D,2,0,0,0,-1,5,,,,,,,,,,,,
,Dougie Hamilton,NJD,R,D,77,12,27,39,-2,50,,,,,,,,,,,,
,Drake Batherson,OTT,R,R,79,33,38,71,-7,33,,,,,,,,,,,,
,Drew Doughty,LAK,R,D,72,5,18,23,4,40,,,,,,,,,,,,
,Drew Fortescue,NYR,L,D,9,0,2,2,4,4,,,,,,,,,,,,
,Drew Helleson,ANA,R,D,60,2,13,15,-4,20,,,,,,,,,,,,
,Drew O'Connor,VAN,L,L,82,17,12,29,-12,47,,,,,,,,,,,,
,Dryden Hunt,CGY,L,L,3,0,0,0,-3,2,,,,,,,,,,,,
,Dylan Coghlan,VGK,R,D,3,0,0,0,1,2,,,,,,,,,,,,
,Dylan Cozens,OTT,R,C,82,28,31,59,-7,59,,,,,,,,,,,,
,Dylan DeMelo,WPG,R,D,82,3,16,19,7,40,,,,,,,,,,,,
,Dylan Duke,TBL,L,L,1,0,0,0,-1,0,,,,,,,,,,,,
,Dylan Guenther,UTA,R,R,79,40,33,73,7,28,,,,,,,,,,,,
,Dylan Holloway,STL,L,L,59,22,29,51,13,20,,,,,,,,,,,,
,Dylan Larkin,DET,L,C,74,34,33,67,3,48,,,,,,,,,,,,
,Dylan McIlrath,WSH,R,D,13,0,0,0,-1,10,,,,,,,,,,,,
,Dylan Samberg,WPG,L,D,66,1,13,14,5,14,,,,,,,,,,,,
,Dylan Strome,WSH,L,C,80,19,39,58,2,46,,,,,,,,,,,,
,Dysin Mayo,CBJ,R,D,3,0,1,1,1,0,,,,,,,,,,,,
,Easton Cowan,TOR,L,R,66,11,18,29,-5,45,,,,,,,,,,,,
,Eeli Tolvanen,SEA,L,R,78,12,24,36,-18,30,,,,,,,,,,,,
,Eetu Luostarinen,FLA,L,C,73,11,22,33,4,32,,,,,,,,,,,,
,Egor Chinakhov,"CBJ,PIT",L,R,29,3,3,6,-6,6,,,,,,,,,,,,
,Egor Chinakhov,"CBJ,PIT",L,R,43,18,18,36,4,4,,,,,,,,,,,,
,Egor Zamula,"PHI,CBJ",L,D,20,0,2,2,2,0,,,,,,,,,,,,
,Egor Zamula,"PHI,CBJ",L,D,13,0,1,1,4,4,,,,,,,,,,,,
,Elias Lindholm,BOS,R,C,69,17,31,48,-7,38,,,,,,,,,,,,
,Elias Pettersson,VAN,L,C,74,15,36,51,-30,20,,,,,,,,,,,,
,Elias Pettersson,VAN,L,D,70,3,7,10,-16,39,,,,,,,,,,,,
,Elias Salomonsson,WPG,R,D,32,1,4,5,-6,12,,,,,,,,,,,,
,Elmer Soderblom,"DET,PIT",L,L,39,2,1,3,-4,12,,,,,,,,,,,,
,Elmer Soderblom,"DET,PIT",L,L,20,5,5,10,3,11,,,,,,,,,,,,
,Emil Andrae,PHI,L,D,61,2,11,13,15,22,,,,,,,,,,,,
,Emil Heineman,NYI,L,L,82,22,9,31,-13,18,,,,,,,,,,,,
,Emil Lilleberg,TBL,L,D,50,4,8,12,15,61,,,,,,,,,,,,
,Emmitt Finnie,DET,L,C,82,13,17,30,-10,6,,,,,,,,,,,,
,Eric Robinson,CAR,L,L,67,12,6,18,7,8,,,,,,,,,,,,
,Erik Cernak,TBL,R,D,61,3,8,11,3,74,,,,,,,,,,,,
,Erik Gudbranson,CBJ,R,D,37,1,2,3,6,19,,,,,,,,,,,,
,Erik Gustafsson,DET,L,D,2,0,0,0,-2,2,,,,,,,,,,,,
,Erik Haula,NSH,L,L,81,14,24,38,-15,64,,,,,,,,,,,,
,Erik Karlsson,PIT,R,D,75,15,51,66,8,22,,,,,,,,,,,,
,Esa Lindell,DAL,L,D,82,6,26,32,30,20,,,,,,,,,,,,
,Ethan Cardwell,SJS,R,R,7,1,0,1,-3,2,,,,,,,,,,,,
,Ethan Del Mastro,CHI,L,D,19,0,1,1,-11,18,,,,,,,,,,,,
,Ethen Frank,WSH,R,R,62,12,12,24,8,18,,,,,,,,,,,,
,Evan Bouchard,EDM,R,D,82,21,74,95,25,30,,,,,,,,,,,,
,Evan Rodrigues,FLA,R,C,69,11,20,31,-16,38,,,,,,,,,,,,
,Evander Kane,VAN,L,L,71,13,18,31,-20,92,,,,,,,,,,,,
,Evgeni Malkin,PIT,L,C,56,19,42,61,13,61,,,,,,,,,,,,
,Evgenii Dadonov,NJD,L,L,24,1,0,1,-6,2,,,,,,,,,,,,
,Fabian Zetterlund,OTT,R,L,82,17,16,33,-1,16,,,,,,,,,,,,
,Fedor Svechkov,NSH,L,C,70,4,13,17,-6,22,,,,,,,,,,,,
,Felix Unger Sorum,CAR,R,R,1,0,1,1,1,0,,,,,,,,,,,,
,Filip Chytil,VAN,L,C,12,3,0,3,-7,6,,,,,,,,,,,,
,Filip Forsberg,NSH,R,L,82,40,35,75,-2,34,,,,,,,,,,,,
,Filip Hallander,PIT,L,C,13,1,3,4,4,2,,,,,,,,,,,,
,Filip Hronek,VAN,R,D,82,8,41,49,-23,33,,,,,,,,,,,,
