player_id,Player,Team,S/C,Pos,GP,G,A,P,+/-,PIM,,,,,,,,,,,,
,Victor Mancini,VAN,R,D,24,0,3,3,-12,7,,,,,,,,,,,,
,Victor Olofsson,"COL,CGY",L,L,18,2,4,6,-1,0,,,,,,,,,,,,
,Victor Olofsson,"COL,CGY",L,L,60,11,14,25,6,6,,,,,,,,,,,,
,Victor Soderstrom,BOS,R,D,8,0,1,1,3,0,,,,,,,,,,,,
,Viking Gustafsson Nyberg,MIN,--,D,2,0,0,0,1,0,,,,,,,,,,,,
,Viktor Arvidsson,BOS,R,L,69,25,29,54,20,24,,,,,,,,,,,,
,Ville Heinola,WPG,L,D,5,0,0,0,0,4,,,,,,,,,,,,
,Ville Koivunen,PIT,L,R,39,2,5,7,-10,10,,,,,,,,,,,,
,Vince Dunn,SEA,L,D,81,11,33,44,-24,54,,,,,,,,,,,,
,Vincent Desharnais,SJS,R,D,53,1,6,7,7,68,,,,,,,,,,,,
,Vincent Iorio,"SJS,NYR",R,D,21,0,3,3,-4,12,,,,,,,,,,,,
,Vincent Iorio,"SJS,NYR",R,D,6,0,0,0,0,0,,,,,,,,,,,,
,Vincent Trocheck,NYR,R,C,67,16,37,53,-16,64,,,,,,,,,,,,
,Vinnie Hinostroza,"MIN,FLA",R,C,48,3,7,10,-8,15,,,,,,,,,,,,
,Vinnie Hinostroza,"MIN,FLA",R,C,17,3,5,8,-4,16,,,,,,,,,,,,
,Vladimir Tarasenko,MIN,L,R,75,23,24,47,-11,10,,,,,,,,,,,,
,Vladislav Gavrikov,NYR,L,D,82,14,21,35,-8,50,,,,,,,,,,,,
,Vladislav Kolyachonok,"DAL,BOS",L,D,2,0,0,0,-1,0,,,,,,,,,,,,
,Vladislav Kolyachonok,"DAL,BOS",L,D,11,1,2,3,3,4,,,,,,,,,,,,
,Vladislav Namestnikov,WPG,L,C,60,8,6,14,-13,28,,,,,,,,,,,,
,Walker Duehr,WPG,R,R,3,0,0,0,-1,0,,,,,,,,,,,,
,Warren Foegele,"LAK,OTT",L,L,47,7,2,9,-6,14,,,,,,,,,,,,
,Warren Foegele,"LAK,OTT",L,L,21,6,2,8,6,4,,,,,,,,,,,,
,Will Borgen,NYR,R,D,75,5,10,15,3,41,,,,,,,,,,,,
,Will Cuylle,NYR,L,L,82,20,18,38,-12,65,,,,,,,,,,,,
,Will Smith,SJS,R,C,69,24,35,59,1,16,,,,,,,,,,,,
,William Carrier,CAR,L,L,70,7,11,18,5,18,,,,,,,,,,,,
,William Eklund,SJS,L,L,78,15,38,53,-31,32,,,,,,,,,,,,
,William Karlsson,VGK,L,C,14,4,3,7,-1,4,,,,,,,,,,,,
,William Nylander,TOR,R,R,65,30,49,79,-14,16,,,,,,,,,,,,
,William Stromgren,CGY,L,L,3,0,0,0,-1,0,,,,,,,,,,,,
,William Villeneuve,TOR,R,D,3,0,0,0,1,0,,,,,,,,,,,,
,Wilmer Skoog,FLA,L,C,3,0,2,2,3,4,,,,,,,,,,,,
,Wyatt Johnston,DAL,R,C,82,45,41,86,-5,32,,,,,,,,,,,,
,Wyatt Kaiser,CHI,L,D,77,6,11,17,-16,34,,,,,,,,,,,,
,Xavier Bourgault,OTT,R,R,2,0,0,0,-1,0,,,,,,,,,,,,
,Xavier Parent,NJD,L,C,5,0,0,0,-1,2,,,,,,,,,,,,
,Yakov Trenin,MIN,L,C,82,6,17,23,13,38,,,,,,,,,,,,
,Yan Kuznetsov,CGY,L,D,57,4,8,12,-8,28,,,,,,,,,,,,
,Yanni Gourde,TBL,L,C,82,9,19,28,-6,66,,,,,,,,,,,,
,Yegor Sharangovich,CGY,L,C,78,15,14,29,-20,12,,,,,,,,,,,,
,Zach Aston-Reese,CBJ,L,L,27,1,4,5,-1,12,,,,,,,,,,,,
,Zach Benson,BUF,L,L,65,13,30,43,27,42,,,,,,,,,,,,
,Zach Bogosian,MIN,R,D,41,2,4,6,8,18,,,,,,,,,,,,
,Zach Hyman,EDM,R,L,58,31,21,52,13,28,,,,,,,,,,,,
,Zach Metsa,BUF,R,D,43,2,4,6,16,8,,,,,,,,,,,,
,Zach Werenski,CBJ,L,D,75,22,59,81,7,18,,,,,,,,,,,,
,Zach Whitecloud,"VGK,CGY",R,D,47,2,5,7,-8,20,,,,,,,,,,,,
,Zach Whitecloud,"VGK,CGY",R,D,31,0,10,10,2,10,,,,,,,,,,,,
,Zachary Bolduc,MTL,L,R,78,12,18,30,-6,28,,,,,,,,,,,,
,Zachary L'Heureux,NSH,L,L,25,4,1,5,3,21,,,,,,,,,,,,
,Zack MacEwen,NJD,R,R,3,0,0,0,0,0,,,,,,,,,,,,
,Zack Ostapchuk,SJS,L,C,59,4,3,7,-11,45,,,,,,,,,,,,
,Zakhar Bardakov,COL,L,C,60,1,9,10,6,14,,,,,,,,,,,,
,Zayne Parekh,CGY,R,D,37,4,5,9,-9,8,,,,,,,,,,,,
,Zeev Buium,"MIN,VAN",L,D,45,3,9,12,-24,33,,,,,,,,,,,,
,Zeev Buium,"MIN,VAN",L,D,31,3,11,14,-9,8,,,,,,,,,,,,
,Zemgus Girgensons,TBL,L,C,74,9,11,20,1,31,,,,,,,,,,,,
